ParroquiaPARROQUIAPARROQUIA,Fecha de PagoMesMes,Tipo de PagoTipo de PagoTipo de Pago,Actividad ComercialDescripción ActividadDescripcion Nivel 1,MeasuresValores Pagados,Agregar columna2
NO DISPONIBLE,may-23,EFECTIVO,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.,4.5,
NO DISPONIBLE,may-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,72.76,
NO DISPONIBLE,may-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,698.305,
NO DISPONIBLE,may-23,EFECTIVO,ACTIVIDADES INMOBILIARIAS.,30,
NO DISPONIBLE,may-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",54.99,
NO DISPONIBLE,may-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",104.7,
NO DISPONIBLE,may-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,22083.4204,
NO DISPONIBLE,may-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,1095.65,
NO DISPONIBLE,may-23,EFECTIVO,INFORMACIÓN Y COMUNICACIÓN.,155,
NO DISPONIBLE,may-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,123.144,
NO DISPONIBLE,may-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,20637.0725,
NO DISPONIBLE,may-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,7779.374,
NO DISPONIBLE,may-23,EFECTIVO,VERIFICAR,1111.4605,
NO DISPONIBLE,jun-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,854.1809,
NO DISPONIBLE,jun-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,31.08,
NO DISPONIBLE,jun-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,754.51,
NO DISPONIBLE,jun-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",47.96,
NO DISPONIBLE,jun-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",284.345,
NO DISPONIBLE,jun-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,29943.0023,
NO DISPONIBLE,jun-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,1218.113,
NO DISPONIBLE,jun-23,EFECTIVO,INFORMACIÓN Y COMUNICACIÓN.,441,
NO DISPONIBLE,jun-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,57,
NO DISPONIBLE,jun-23,EFECTIVO,POR MIGRAR,12.08,
NO DISPONIBLE,jun-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,35518.98,
NO DISPONIBLE,jun-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,6817.92,
NO DISPONIBLE,jun-23,EFECTIVO,VERIFICAR,3671.6345,
NO DISPONIBLE,jul-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,1734.6163,
NO DISPONIBLE,jul-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,69.78,
NO DISPONIBLE,jul-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,579.3,
NO DISPONIBLE,jul-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",36.81,
NO DISPONIBLE,jul-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",94.5,
NO DISPONIBLE,jul-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,34540.8821,
NO DISPONIBLE,jul-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,729.465,
NO DISPONIBLE,jul-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,117.62,
NO DISPONIBLE,jul-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,33106.61,
NO DISPONIBLE,jul-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,4304.8282,
NO DISPONIBLE,jul-23,EFECTIVO,VERIFICAR,3685.268,
NO DISPONIBLE,ago-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,4738.8519,
NO DISPONIBLE,ago-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,62.31,
NO DISPONIBLE,ago-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,560.58,
NO DISPONIBLE,ago-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",27.46,
NO DISPONIBLE,ago-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",67.5,
NO DISPONIBLE,ago-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,33722.5929,
NO DISPONIBLE,ago-23,EFECTIVO,CONSTRUCCIÓN.,216,
NO DISPONIBLE,ago-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,846.594,
NO DISPONIBLE,ago-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,87.32,
NO DISPONIBLE,ago-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,32019.12,
NO DISPONIBLE,ago-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,7653.4672,
NO DISPONIBLE,ago-23,EFECTIVO,VERIFICAR,4854.0104,
NO DISPONIBLE,sep-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,3570.5916,
NO DISPONIBLE,sep-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,32.82,
NO DISPONIBLE,sep-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,738.33,
NO DISPONIBLE,sep-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",36.92,
NO DISPONIBLE,sep-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",82.35,
NO DISPONIBLE,sep-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,32009.4897,
NO DISPONIBLE,sep-23,EFECTIVO,CONSTRUCCIÓN.,135,
NO DISPONIBLE,sep-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,1575.001,
NO DISPONIBLE,sep-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,43.3425,
NO DISPONIBLE,sep-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,28745.7645,
NO DISPONIBLE,sep-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,5813.0647,
NO DISPONIBLE,sep-23,EFECTIVO,VERIFICAR,4274.4112,
NO DISPONIBLE,oct-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,4510.3299,
NO DISPONIBLE,oct-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,135.35,
NO DISPONIBLE,oct-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,365.01,
NO DISPONIBLE,oct-23,EFECTIVO,ACTIVIDADES INMOBILIARIAS.,49.76,
NO DISPONIBLE,oct-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",45.94,
NO DISPONIBLE,oct-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",67.5,
NO DISPONIBLE,oct-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,32812.6996,
NO DISPONIBLE,oct-23,EFECTIVO,CONSTRUCCIÓN.,162,
NO DISPONIBLE,oct-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,1857.987,
NO DISPONIBLE,oct-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,144.198,
NO DISPONIBLE,oct-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,21258.62,
NO DISPONIBLE,oct-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,10949.84,
NO DISPONIBLE,oct-23,EFECTIVO,VERIFICAR,4931.984,
NO DISPONIBLE,nov-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,2293.7995,
NO DISPONIBLE,nov-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",40.58,
NO DISPONIBLE,nov-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",148.5,
NO DISPONIBLE,nov-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,21743.9264,
NO DISPONIBLE,nov-23,EFECTIVO,CONSTRUCCIÓN.,310.5,
NO DISPONIBLE,nov-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,2422.991,
NO DISPONIBLE,nov-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,48.371,
NO DISPONIBLE,nov-23,EFECTIVO,POR MIGRAR,10,
NO DISPONIBLE,nov-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,4888,
NO DISPONIBLE,nov-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,6159.7525,
NO DISPONIBLE,nov-23,EFECTIVO,VERIFICAR,4671.2355,
NO DISPONIBLE,dic-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,3003.6992,
NO DISPONIBLE,dic-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,65.13,
NO DISPONIBLE,dic-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",40.5,
NO DISPONIBLE,dic-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,25244.0634,
NO DISPONIBLE,dic-23,EFECTIVO,CONSTRUCCIÓN.,351,
NO DISPONIBLE,dic-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,1196.61,
NO DISPONIBLE,dic-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,93.52,
NO DISPONIBLE,dic-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,5551.2695,
NO DISPONIBLE,dic-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,4729.53,
NO DISPONIBLE,dic-23,EFECTIVO,VERIFICAR,5390.6464,
NO DISPONIBLE,ene-24,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,2514.9964,
NO DISPONIBLE,ene-24,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",49.95,
NO DISPONIBLE,ene-24,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",55.2,
NO DISPONIBLE,ene-24,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,19406.8776,
NO DISPONIBLE,ene-24,EFECTIVO,CONSTRUCCIÓN.,248.4,
NO DISPONIBLE,ene-24,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,834.165,
NO DISPONIBLE,ene-24,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,16.31,
NO DISPONIBLE,ene-24,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,6267.88,
NO DISPONIBLE,ene-24,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,4415.26,
NO DISPONIBLE,ene-24,EFECTIVO,VERIFICAR,3907.98,
NO DISPONIBLE,feb-24,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,2499.31,
NO DISPONIBLE,feb-24,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",82.8,
NO DISPONIBLE,feb-24,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,19131.69,
NO DISPONIBLE,feb-24,EFECTIVO,CONSTRUCCIÓN.,317.4,
NO DISPONIBLE,feb-24,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,580.46,
NO DISPONIBLE,feb-24,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,5601.66,
NO DISPONIBLE,feb-24,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,594.78,
NO DISPONIBLE,feb-24,EFECTIVO,VERIFICAR,3178.13,
NO DISPONIBLE,mar-24,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,2545.01,
NO DISPONIBLE,mar-24,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",375.58,
NO DISPONIBLE,mar-24,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,20270.34,
NO DISPONIBLE,mar-24,EFECTIVO,CONSTRUCCIÓN.,248.4,
NO DISPONIBLE,mar-24,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,688.56,
NO DISPONIBLE,mar-24,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,5651.54,
NO DISPONIBLE,mar-24,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,8940.35,
NO DISPONIBLE,mar-24,EFECTIVO,VERIFICAR,3726.13,
ABDON CALDERON,ene-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,132,
ABDON CALDERON,ene-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,378,
ABDON CALDERON,ene-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",19.8,
ABDON CALDERON,ene-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,ene-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,4691.7685,
ABDON CALDERON,ene-23,EFECTIVO,CONSTRUCCIÓN.,97.12,
ABDON CALDERON,ene-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,75.9,
ABDON CALDERON,ene-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,404.45,
ABDON CALDERON,ene-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,161.7,
ABDON CALDERON,ene-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,40.59,
ABDON CALDERON,ene-23,EFECTIVO,VERIFICAR,1480.1158,
ABDON CALDERON,feb-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,99,
ABDON CALDERON,feb-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,feb-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",19.8,
ABDON CALDERON,feb-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,feb-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,3484.012,
ABDON CALDERON,feb-23,EFECTIVO,CONSTRUCCIÓN.,92.28,
ABDON CALDERON,feb-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,75.9,
ABDON CALDERON,feb-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,380,
ABDON CALDERON,feb-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,214.5,
ABDON CALDERON,feb-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,19.8,
ABDON CALDERON,feb-23,EFECTIVO,VERIFICAR,952.9,
ABDON CALDERON,mar-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,103.9475,
ABDON CALDERON,mar-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,mar-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",19.8,
ABDON CALDERON,mar-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,mar-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,3452.686,
ABDON CALDERON,mar-23,EFECTIVO,CONSTRUCCIÓN.,62.64,
ABDON CALDERON,mar-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,128.7,
ABDON CALDERON,mar-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,382.3685,
ABDON CALDERON,mar-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,123.15,
ABDON CALDERON,mar-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,39.6,
ABDON CALDERON,mar-23,EFECTIVO,VERIFICAR,815.48,
ABDON CALDERON,abr-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,198,
ABDON CALDERON,abr-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,abr-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",109.8,
ABDON CALDERON,abr-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,abr-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,3873.9006,
ABDON CALDERON,abr-23,EFECTIVO,CONSTRUCCIÓN.,62.64,
ABDON CALDERON,abr-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,89.1,
ABDON CALDERON,abr-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,369.8,
ABDON CALDERON,abr-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,326.6225,
ABDON CALDERON,abr-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,19.8,
ABDON CALDERON,abr-23,EFECTIVO,VERIFICAR,1056.6014,
ABDON CALDERON,may-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,66,
ABDON CALDERON,may-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,may-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",52.8,
ABDON CALDERON,may-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,3445.3395,
ABDON CALDERON,may-23,EFECTIVO,CONSTRUCCIÓN.,62.64,
ABDON CALDERON,may-23,EFECTIVO,ENSEÑANZA.,31,
ABDON CALDERON,may-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,125.4,
ABDON CALDERON,may-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,300,
ABDON CALDERON,may-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,273.16,
ABDON CALDERON,may-23,EFECTIVO,VERIFICAR,1782.042,
ABDON CALDERON,jun-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,132,
ABDON CALDERON,jun-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,jun-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",53.05,
ABDON CALDERON,jun-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",39.6,
ABDON CALDERON,jun-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,3761.7375,
ABDON CALDERON,jun-23,EFECTIVO,CONSTRUCCIÓN.,33,
ABDON CALDERON,jun-23,EFECTIVO,ENSEÑANZA.,31,
ABDON CALDERON,jun-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,56.1,
ABDON CALDERON,jun-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,440,
ABDON CALDERON,jun-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,218.4,
ABDON CALDERON,jun-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,39.6,
ABDON CALDERON,jun-23,EFECTIVO,VERIFICAR,960.957,
ABDON CALDERON,jul-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,66,
ABDON CALDERON,jul-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",48.44,
ABDON CALDERON,jul-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,jul-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,4609.8638,
ABDON CALDERON,jul-23,EFECTIVO,CONSTRUCCIÓN.,29.64,
ABDON CALDERON,jul-23,EFECTIVO,ENSEÑANZA.,31,
ABDON CALDERON,jul-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,132,
ABDON CALDERON,jul-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,350,
ABDON CALDERON,jul-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,520.95,
ABDON CALDERON,jul-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,19.8,
ABDON CALDERON,jul-23,EFECTIVO,VERIFICAR,1083.175,
ABDON CALDERON,ago-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,165,
ABDON CALDERON,ago-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,ago-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",153.79,
ABDON CALDERON,ago-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,ago-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,4761.022,
ABDON CALDERON,ago-23,EFECTIVO,CONSTRUCCIÓN.,92.28,
ABDON CALDERON,ago-23,EFECTIVO,ENSEÑANZA.,51,
ABDON CALDERON,ago-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,122.7,
ABDON CALDERON,ago-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,122.01,
ABDON CALDERON,ago-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,345.71,
ABDON CALDERON,ago-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,19.8,
ABDON CALDERON,ago-23,EFECTIVO,VERIFICAR,2336.02,
ABDON CALDERON,sep-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,33,
ABDON CALDERON,sep-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,720,
ABDON CALDERON,sep-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",54.45,
ABDON CALDERON,sep-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,sep-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,4143.6468,
ABDON CALDERON,sep-23,EFECTIVO,CONSTRUCCIÓN.,33,
ABDON CALDERON,sep-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,142.5,
ABDON CALDERON,sep-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,650,
ABDON CALDERON,sep-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,470.58,
ABDON CALDERON,sep-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,19.8,
ABDON CALDERON,sep-23,EFECTIVO,VERIFICAR,721.105,
ABDON CALDERON,oct-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,333.55,
ABDON CALDERON,oct-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,oct-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",92.73,
ABDON CALDERON,oct-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,oct-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,5274.8348,
ABDON CALDERON,oct-23,EFECTIVO,CONSTRUCCIÓN.,92.28,
ABDON CALDERON,oct-23,EFECTIVO,ENSEÑANZA.,11,
ABDON CALDERON,oct-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,172.2,
ABDON CALDERON,oct-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,567.79,
ABDON CALDERON,oct-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,279.3,
ABDON CALDERON,oct-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,19.8,
ABDON CALDERON,oct-23,EFECTIVO,VERIFICAR,1466.065,
ABDON CALDERON,nov-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,165,
ABDON CALDERON,nov-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,360,
ABDON CALDERON,nov-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",52.8,
ABDON CALDERON,nov-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",19.8,
ABDON CALDERON,nov-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,3816.144,
